序号,fraud_type_id,诈骗类型,候选编号,视频标题,官方发布机构,官方账号名称,原始页面URL,视频平台,发布时间,时长秒,方向,官方认证或水印,下载权限,转载或使用权限,本地文件路径,本地审核状态,保留或淘汰理由,备注
1,scam_brush_rebate,刷单返利诈骗,candidate_01,“刷单”是这样骗你的,中国警察网,中国警察网,https://www.bilibili.com/video/BV1G341167UC/,哔哩哔哩,2021-08-17,112.4,横屏,账号名和来源页可见，水印待复核,公开播放页已下载到本地，仅用于内部审核,页面未见明确转载授权，待确认,anti_fraud_video_candidates\01_scam_brush_rebate\candidate_01__china_police_net__BV1G341167UC.mp4,待看,已下载，待本地观看,
2,scam_fake_customer_service,冒充客服诈骗,candidate_01,警惕冒充客服新套路！,衢州网警（地方公安网警账号候选）,衢州网警,https://www.bilibili.com/video/BV1gDSWBgEg9/,哔哩哔哩,2025-12-02,55.4,横屏,账号名可见，地方公安账号主体待复核,公开播放页已下载到本地，仅用于内部审核,页面未见明确转载授权，待确认,anti_fraud_video_candidates\02_scam_fake_customer_service\candidate_01__quzhou_net_police__BV1gDSWBgEg9.mp4,待看,已下载，待本地观看,账号主体需复核
3,scam_fake_police,冒充公检法诈骗,candidate_01,切记！警察不会在网上办案,东营网警（地方公安网警账号候选）,东营网警,https://www.bilibili.com/video/BV1mtwReFEWv/,哔哩哔哩,2025-02-17,34.0,横屏,账号名可见，地方公安账号主体待复核,公开播放页已下载到本地，仅用于内部审核,页面未见明确转载授权，待确认,anti_fraud_video_candidates\03_scam_impersonate_public_security\candidate_01__dongying_net_police__BV1mtwReFEWv.mp4,待看,已下载，待本地观看,账号主体需复核
4,scam_fake_investment,虚假投资理财诈骗,candidate_01,当心！“数字人民币”投资骗局（来源：公安部刑侦局）,阳泉网警,阳泉网警,https://www.bilibili.com/video/BV1wW97YfEFZ/,哔哩哔哩,2025-03-04,84.0,竖屏,标题注明来源公安部刑侦局，账号主体待复核,公开播放页，仅用于本地审核,转载或使用权限待确认,anti_fraud_video_candidates\04_scam_fake_investment\candidate_01__yangquan_net_police__BV1wW97YfEFZ.mp4,待看,已选候选，待你下载、本地观看和核验账号主体,
5,scam_fake_loan,网络贷款诈骗,candidate_01,反诈民警为你揭秘虚假网络贷款骗局,公安部新闻宣传局,公安部新闻宣传局,https://www.bilibili.com/video/BV1Dz4y1i7Qk/,哔哩哔哩,2023-05-29,60.2,横屏,账号名和来源页可见，水印待复核,公开播放页已下载到本地，仅用于内部审核,页面未见明确转载授权，待确认,anti_fraud_video_candidates\05_scam_online_loan\candidate_01__mps_news_publicity__BV1Dz4y1i7Qk.mp4,待看,已下载，待本地观看,
6,scam_phishing_link,钓鱼链接诈骗,,,,,,,,,,,待填写,待填写,,待看,,
7,scam_ai_face_family,AI换脸冒充熟人诈骗,,,,,,,,,,,待填写,待填写,,待看,,
8,scam_acquaintance_borrow,冒充领导或熟人借钱诈骗,candidate_01,公安反诈视频——冒充领导熟人诈骗,青海普法,青海普法,https://www.bilibili.com/video/BV1DA411H7hT/,哔哩哔哩,2021-01-27,208.2,横屏,官方普法账号线索，是否公安机关原始发布待复核,公开播放页，仅用于本地审核,转载或使用权限待确认,anti_fraud_video_candidates\08_scam_acquaintance_borrow\candidate_01__qinghai_pufa__BV1DA411H7hT.mp4,待看,备选候选，先确认账号主体和内容是否适合紧急劝阻,
9,scam_code_account_theft,验证码/账户盗刷诈骗,,,,,,,,,,,待填写,待填写,,待看,,
10,scam_screen_remote_control,屏幕共享/远程控制诈骗,candidate_01,你正在共享屏幕，应当如何正确处理？,武汉网警（地方公安网警账号候选）,武汉网警,https://www.bilibili.com/video/BV1t42VBNEtJ/,哔哩哔哩,2025-12-05,91.4,横屏,账号名可见，地方公安账号主体待复核,公开播放页已下载到本地，仅用于内部审核,页面未见明确转载授权，待确认,anti_fraud_video_candidates\10_scam_screen_sharing\candidate_01__wuhan_net_police__BV1t42VBNEtJ.mp4,待看,已下载，待本地观看,另有 candidate_02 下载不完整
